日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,含预售投产比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台补贴金额,补贴引导成交金额,发券补贴商品个数,补贴引导成交人数
2026-06-21,1052335368136,商品,ins风竹纤维纸杯家用加厚卡通牛皮色一次性水杯办公商用待客茶杯,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1052335148427,商品,网红爆款一次性杯子咖啡杯带盖热饮纸杯90口径外带食品级商用定制,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1052301900403,商品,纸杯一次性牛皮纸杯原浆牛皮纸家用喝水杯商用办公纸杯,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1052301896230,商品,可爱卡通牛卡咖啡杯一次性纸杯加厚耐高温家用喝水杯商用可印logo,2,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1052301816515,商品,一次性咖啡杯定制奶茶杯带盖烫银热饮咖啡纸杯商用外带打包杯子,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1052301784425,商品,简约一次性牛皮纸杯食品级商务办公咖啡杯加厚家用待客茶杯耐高温,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051433797016,商品,水杯一次性牛皮家用纸杯招待客户加厚纸杯子家用茶杯可定制logo,14,1,0.07,0.07143,0.07,5.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,1,1,1,1,0,0,0.07143,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051433557420,商品,加厚咖啡杯一次性双层外带纸杯家用奶茶豆浆打包杯子,9,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051433481442,商品,一次性牛皮纸杯ins风涂鸦高级感防烫厚杯子待客咖啡纸杯手工制作,8,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051433273679,商品,外带杯热饮杯咖啡杯奶茶打包杯防烫加厚中空小狗一次性纸杯400ml,3,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051433169910,商品,咖啡杯一次性纸杯子带盖奶茶热饮耐高温商用定制,2,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051399941474,商品,牛皮纸超厚一次性家用喝水纸杯门店招待客人泡茶杯子可定制logo,9,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
2026-06-21,1051399841860,商品,网红爆款一次性杯子咖啡杯奶茶纸杯冷热饮杯外带带盖商用定制logo,5,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0,0
